system,sheet,porosity,s_co_um,s_cc_um,collector,lambda_stack_W_mK,source
graphite_thin,1,0.606,70.0,10.3,Cu,1.638,"Gandert et al. 2023, Energy Technol. 11, 2300259, Table 1 + Fig. 5 fit"
graphite_thin,2,0.586,61.6,10.3,Cu,1.575,"Gandert et al. 2023, Energy Technol. 11, 2300259, Table 1 + Fig. 5 fit"
graphite_thin,3,0.544,55.8,10.3,Cu,1.512,"Gandert et al. 2023, Energy Technol. 11, 2300259, Table 1 + Fig. 5 fit"
graphite_thin,4,0.471,48.5,10.3,Cu,1.580,"Gandert et al. 2023, Energy Technol. 11, 2300259, Table 1 + Fig. 5 fit"
graphite_thin,5,0.376,40.8,10.3,Cu,2.023,"Gandert et al. 2023, Energy Technol. 11, 2300259, Table 1 + Fig. 5 fit"
graphite_thin,6,0.328,37.0,10.3,Cu,2.399,"Gandert et al. 2023, Energy Technol. 11, 2300259, Table 1 + Fig. 5 fit"
graphite_thick,1,0.597,117.2,11.0,Cu,1.536,"Gandert et al. 2023, Energy Technol. 11, 2300259, Table 1 + Fig. 5 fit"
graphite_thick,2,0.585,108.2,11.0,Cu,1.488,"Gandert et al. 2023, Energy Technol. 11, 2300259, Table 1 + Fig. 5 fit"
graphite_thick,3,0.569,102.9,11.0,Cu,1.432,"Gandert et al. 2023, Energy Technol. 11, 2300259, Table 1 + Fig. 5 fit"
graphite_thick,4,0.514,89.1,11.0,Cu,1.309,"Gandert et al. 2023, Energy Technol. 11, 2300259, Table 1 + Fig. 5 fit"
graphite_thick,5,0.412,86.3,11.0,Cu,1.347,"Gandert et al. 2023, Energy Technol. 11, 2300259, Table 1 + Fig. 5 fit"
graphite_thick,6,0.291,71.0,11.0,Cu,1.847,"Gandert et al. 2023, Energy Technol. 11, 2300259, Table 1 + Fig. 5 fit"
graphite_thick,7,0.211,59.9,11.0,Cu,2.448,"Gandert et al. 2023, Energy Technol. 11, 2300259, Table 1 + Fig. 5 fit"
NMC622,1,0.513,54.9,16.7,Al,0.917,"Gandert et al. 2023, Energy Technol. 11, 2300259, Table 1 + Fig. 2 fit"
NMC622,2,0.469,50.4,16.7,Al,0.844,"Gandert et al. 2023, Energy Technol. 11, 2300259, Table 1 + Fig. 2 fit"
NMC622,3,0.427,47.1,16.7,Al,0.806,"Gandert et al. 2023, Energy Technol. 11, 2300259, Table 1 + Fig. 2 fit"
NMC622,4,0.379,43.2,16.7,Al,0.802,"Gandert et al. 2023, Energy Technol. 11, 2300259, Table 1 + Fig. 2 fit"
NMC622,5,0.349,41.4,16.7,Al,0.821,"Gandert et al. 2023, Energy Technol. 11, 2300259, Table 1 + Fig. 2 fit"
NMC622,6,0.303,39.6,16.7,Al,0.880,"Gandert et al. 2023, Energy Technol. 11, 2300259, Table 1 + Fig. 2 fit"
NMC811,1,0.507,79.5,16.2,Al,0.592,"Gandert et al. 2023, Energy Technol. 11, 2300259, Table 1 + Fig. 2 fit"
NMC811,2,0.494,75.5,16.2,Al,0.572,"Gandert et al. 2023, Energy Technol. 11, 2300259, Table 1 + Fig. 2 fit"
NMC811,3,0.488,73.6,16.2,Al,0.564,"Gandert et al. 2023, Energy Technol. 11, 2300259, Table 1 + Fig. 2 fit"
NMC811,4,0.483,73.5,16.2,Al,0.557,"Gandert et al. 2023, Energy Technol. 11, 2300259, Table 1 + Fig. 2 fit"
NMC811,5,0.472,73.0,16.2,Al,0.545,"Gandert et al. 2023, Energy Technol. 11, 2300259, Table 1 + Fig. 2 fit"
NMC811,6,0.454,69.6,16.2,Al,0.529,"Gandert et al. 2023, Energy Technol. 11, 2300259, Table 1 + Fig. 2 fit"
NMC811,7,0.372,65.4,16.2,Al,0.524,"Gandert et al. 2023, Energy Technol. 11, 2300259, Table 1 + Fig. 2 fit"
NMC811,8,0.319,58.6,16.2,Al,0.580,"Gandert et al. 2023, Energy Technol. 11, 2300259, Table 1 + Fig. 2 fit"
