prefix,material,d_mm,gamma_s_kg_m3,epsilon,lambda_s_320K,lambda_s_600K,lambda_s_800K,lambda_s_900K,lambda_s_1000K
IK09,Schaumsilikat,9.2,,0.95,4,4,4,4,
GK05,Bleiglas,5.2,2880,0.95,0.8,,,,
CK10,Keramik,10.3,2360,0.93,1.2,1.0,0.9,0.85,0.8
TK03,Steatit,3.3,2700,0.93,2.5,2.0,1.8,1.7,1.6
TK06,Steatit,6.1,2580,0.93,2.5,2.0,1.8,1.7,1.6
TK10,Steatit,9.6,2620,0.93,2.5,2.0,1.8,1.7,1.6
SK02,Stahl,1.98,7790,0.8,53,40,46,46,46
SK05,Stahl,4.6,7790,0.8,53,40,46,46,46
SK10,Stahl,9.4,7790,0.8,53,40,46,46,46
KK02,Kupfer,2.0,8890,0.8,385,,,,
KK10,Kupfer,10.0,8890,0.8,385,,,,
