Complexity,Loss,Equation
1,1096.5491,"65.95835"
3,694.1359,"log_Pe * 27.742538"
4,418.96576,"square(log_Pe * 3.3416388)"
5,196.06966,"square(square(log_Pe) * 1.2793533)"
6,187.10495,"-20.248674 / (log(log_Pe) - 1.2426276)"
7,129.98853,"square(square(log_Pe) + (log_kappa * 0.7636131))"
9,113.80823,"square(log_Pe * 1.1068828) * (log_kappa + square(log_Pe))"
10,94.40372,"square(((log_Pe * 9.022412) + -19.199377) + log_kappa) - -27.92712"
11,83.81051,"square(square(log_Pe * (log_Pe * 0.32867694)) + log_kappa) - -15.904188"
13,64.02676,"square(10.103451 * (log_Pe + -1.9706635)) - ((-26.437805 * log(log_kappa)) - Nu_r)"
15,49.33845,"square((log_Pe + -1.9706635) * 10.103451) - ((log(log_kappa) * -26.437805) - (Nu_r + log_Pe))"
16,44.562305,"square((log_Pe * -10.006408) + 19.285322) - ((log(log_kappa) * -26.175287) - (square(psi) + Nu_r))"
17,39.409718,"square((log_Pe + ((d_over_D - 1.9928964) + d_over_D)) * 10.066599) + (Nu_r - (log(log_kappa) * -26.867384))"
19,39.313087,"(square(((d_over_D + (d_over_D - 2.0025687)) + log_Pe) * 10.136415) + (Nu_r - (log(log_kappa) * -26.4889))) + 0.91538244"
21,38.94866,"((log_Pe + 24.530336) * log(log_kappa)) + (Nu_r + square((log_Pe + (d_over_D - ((1.7154123 - d_over_D) / 0.85981375))) * 10.012193))"
23,38.857044,"(((square((((d_over_D - 1.2904943) / 0.64605623) + log_Pe) * 10.683023) + Nu_r) + ((log(log_kappa) * 26.61173) + log_Pe)) + log_kappa) / 1.1101267"
